"year","val_mort_num","upper_mort_num","lower_mort_num"
1990,13519.1023051857,21758.4415330428,8088.00196516289
1991,15061.4338284812,24852.1170407977,8806.32684718668
1992,18552.2776388996,31413.7922974695,10557.3307277393
1993,21600.7701052772,38257.5575512001,11687.1077730387
1994,28911.0512707726,52822.992622486,15264.9990009276
1995,38954.8429815682,72824.5549935831,20114.2154219043
1996,52915.4269486304,100030.594403538,26804.9901091157
1997,73311.1650867671,137030.627063847,37550.3267376068
1998,97838.0088482463,180732.390651744,50436.2540405253
1999,124329.471968615,228680.963589747,63022.6110668929
2000,154924.648740633,282315.16811204,78135.2323642317
2001,184059.784783346,333594.496684872,91525.0879652075
2002,213772.010521822,382604.932038373,107729.730948988
2003,241905.334511819,426505.634332056,124374.586933269
2004,265182.281364179,460406.93237882,137852.468451181
2005,280659.479346087,479776.437460232,148429.966309599
2006,287217.375429145,484439.715956494,154919.061724399
2007,281208.022909168,472016.799853667,153191.542988669
2008,267669.222650353,448868.623666204,146640.948841679
2009,249605.008810553,420284.606369206,136421.639473296
2010,231259.402360718,391581.73584741,125472.343107776
2011,208582.445404991,354519.37262112,112695.84658673
2012,184678.55077419,315723.490523261,99689.0615148328
2013,167647.526290218,288996.674577231,89730.3821347664
2014,159745.850625964,276823.640749732,84942.4877786202
2015,159539.535962217,277804.463771454,83547.6894373836
2016,164469.59780062,286672.251828027,84781.4382141763
2017,161751.08336697,279332.704583078,83732.3513654638
2018,146575.195458125,250303.14508803,77505.6865511153
2019,137478.96620089,235118.430803994,73042.5469260254
